ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,date_id,product_id,customer_id,status_id,size_id
10107,30,95.7,2,2871.0,49,0,0,0,0
10121,34,81.35,5,2765.9,121,0,1,0,0
10134,41,94.74,2,3884.34,176,0,2,0,1
10145,45,83.26,6,3746.7,231,0,3,0,1
10159,49,100.0,14,5205.27,277,0,4,0,1
10168,36,96.66,1,3479.76,295,0,5,0,1
10180,29,86.13,9,2497.77,309,0,6,0,0
10188,48,100.0,1,5512.32,316,0,7,0,1
10201,22,98.57,2,2168.54,329,0,8,0,0
10211,41,100.0,14,4708.44,374,0,9,0,1
10223,37,100.0,1,3965.66,410,0,10,0,1
10237,23,100.0,7,2333.12,455,0,11,0,0
10251,28,100.0,2,3188.64,498,0,12,0,1
10263,34,100.0,2,3676.76,539,0,13,0,1
10275,45,92.83,1,4177.35,564,0,14,0,1
10285,36,100.0,6,4099.68,599,0,15,0,1
10299,23,100.0,9,2597.39,633,0,16,0,0
10309,41,100.0,5,4394.38,648,0,17,0,1
10318,46,94.74,1,4358.04,666,0,18,0,1
10329,42,100.0,1,4396.14,679,0,0,0,1
10341,41,100.0,9,7737.93,688,0,19,0,2
10361,20,72.55,13,1451.0,711,0,20,0,0
10375,21,34.91,12,733.11,759,0,14,0,0
10388,42,76.36,4,3207.12,787,0,21,0,1
10403,24,100.0,7,2434.56,823,0,22,0,0
10417,66,100.0,2,7516.08,858,0,23,1,2
10103,26,100.0,11,5404.62,23,1,17,0,1
10112,29,100.0,1,7209.11,77,1,24,0,2
10126,38,100.0,11,7329.06,142,1,25,0,2
10140,37,100.0,11,7374.1,199,1,5,0,2
10150,45,100.0,8,10993.5,256,1,26,0,2
10163,21,100.0,1,4860.24,287,1,27,0,1
10174,34,100.0,4,8014.82,304,1,28,0,2
10183,23,100.0,8,5372.57,311,1,29,0,1
10194,42,100.0,11,7290.36,323,1,30,0,2
10206,47,100.0,6,9064.89,333,1,31,0,2
10215,35,100.0,3,6075.3,388,1,32,0,1
10228,29,100.0,2,6463.23,429,1,33,0,1
10245,34,100.0,9,6120.34,484,1,34,0,1
10258,32,100.0,6,7680.64,526,1,35,0,2
10270,21,100.0,9,4905.39,560,1,20,0,1
10280,34,100.0,2,8014.82,589,1,36,0,2
10291,37,100.0,11,7136.19,611,1,37,0,2
10304,47,100.0,6,10172.7,644,1,38,0,2
10312,48,100.0,3,11623.7,654,1,39,0,2
10322,40,100.0,1,6000.4,668,1,40,0,1
10333,26,100.0,3,3003.0,682,1,8,0,1
10347,30,100.0,1,3944.7,693,1,10,0,1
10357,32,100.0,10,5691.84,704,1,39,0,1
10369,41,100.0,2,4514.92,745,1,41,0,1
10381,36,100.0,3,8254.8,773,1,4,0,2
10391,24,100.0,4,2416.56,793,1,42,0,0
10411,23,100.0,9,4140.23,846,1,43,0,1
10424,50,100.0,6,12001.0,876,1,23,2,2
10107,39,99.91,5,3896.49,49,2,0,0,1
10120,29,96.34,3,2793.86,113,2,10,0,0
10134,27,100.0,5,3307.77,176,2,2,0,1
10145,37,100.0,9,5192.95,231,2,3,0,1
10159,37,100.0,17,5016.83,277,2,4,0,1
10168,27,100.0,4,3660.93,295,2,5,0,1
10180,42,100.0,12,4695.6,309,2,6,0,1
10188,38,96.34,4,3660.92,316,2,7,0,1
10201,24,100.0,5,3025.92,329,2,8,0,1
10210,23,100.0,2,3009.09,371,2,44,0,1
10223,47,100.0,4,5422.39,410,2,10,0,1
10236,22,100.0,1,2852.08,453,2,45,0,0
10251,44,100.0,5,5756.52,498,2,12,0,1
10263,40,100.0,5,4472.0,539,2,13,0,1
